oshpd_id9,OSHPD_ID,COUNTY,FACILITY_NAME,ADDRESS,CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,teach_rural,licensed_bed_size,senate_district_desc,assembly_district_desc,mssa_name,mssa_designation,TOC_Acute,TOC_SN_IC,TOC_Psych,TOC_Chem_Dep,TOC_Rehab,TOC_Unknown,Sex_Male,Sex_Female,Sex_Other_Unknown,Age_0_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Other_Unknown,eth_Hispanic,eth_NonHispanic,eth_Other_Unknown,racegrp_aman,racegrp_asian,racegrp_nhpi,racegrp_black,racegrp_white,racegrp_unknown,racegrp_other,racegrp_multirace,Admt_Non_HCF,Admt_Clinic_Dr,Admt_Hosp_Dif,Admt_SNF_ICF_ALF,Admt_Another_HCF,Admt_DistinctPartXfer,Admt_Amb_Surgery,Admt_HospiceFacility,Admt_Court_LE,Admt_NA,Admt_Newborn,admt_disaster_care_site,Route_Your_ER,Route_Another_ER,Route_No_ER,Route_NA,dsch_days,Adm_Emergency,Adm_Urgent,Adm_Elective,Adm_Newborn,Adm_Trauma,Adm_NA,disp_Routine,disp_Acute_Care,disp_Rehab,disp_SN_IC_Care,disp_Residential_Care,disp_Prison_Jail,disp_Against_Medical_Advice,disp_Died,disp_Home_Health_Service,disp_Disaster_Care_Site,disp_Childrens_or_Cancer,disp_Hospice_Care,disp_Psychiatric_Care,disp_CAH,disp_Not_Defined_Elsewhere,disp_Other,disp_Invalid_Blank,DNR_Yes,DNR_No,DNR_Unknown,Payer_Self_Pay_or_Uninsured,Payer_Other_Government,Payer_Private_Health_Insurance,Payer_Medicare,Payer_All_Other_Payers,Payer_MediCal,Payer_Other_Unknown,dx_Infectious,dx_Neoplasms,dx_Diseases_of_the_Blood,dx_Endocrine,dx_MentalHealth,dx_Nervous_System,dx_Eye,dx_Ear,dx_Circulatory,dx_Respiratory,dx_Digestive,dx_Skin,dx_Musculoskeletal,dx_Genitourinary,dx_Pregnancy_Childbirth,dx_Certain_Perinatal_Conditions,dx_Congenital,dx_Symptoms_Signs_NEC,dx_Injury_Poisoning,dx_Factors_Influencing_Health,dx_Other_Unknown,PR_Diagnostic_Therapeutic,PR_Obstetrical,PR_Cardiovascular_System,PR_Digestive_System,PR_Ear,PR_Endocrine_System,PR_Eye,PR_Reproductive_System,PR_Hemic_Lymph_System,PR_Integumentary_System,PR_Musculoskeletal_System,PR_Nervous_System,PR_Nose_Mouth_Pharynx,PR_Respiratory_System,PR_Urinary_System,PR_None,PR_No_Group_Assigned,Zip_Unk_Inv_Bl,Zip_Homeless,Zip_Foreign,Zip_Out_of_State,Zip_CA_Resident,,,
106314024,314024,PLACER,KAISER FOUNDATION HOSPITAL - ROSEVILLE,1600 EUREKA ROAD,ROSEVILLE,95661,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 6,District 5,Rocklin/Granite Bay,Urban,29535,,,,,,11323,18206,6,7732,782,2566,4917,1330,1531,2831,3867,3978,1,4748,23840,947,180,3231,218,1765,18620,761,4072,688,19630,715,1562,430,616,5,7,,2,35,6532,1,13176,987,15372,,117129,2037,17434,3529,6532,,3,22106,454,52,2009,2,1,226,598,3554,,1,498,28,,1,5,,2237,27298,,295,292,15564,9554,21,3809,,3302,598,220,668,217,405,26,20,3036,1429,2444,307,346,716,6929,6678,116,356,1300,422,,4296,6311,1867,2352,18,3,13,1669,90,353,1144,201,210,417,673,9288,630,2,110,,55,29368,,,
106314029,314029,PLACER,CIRBY HILLS BEHAVIORAL HEALTH,101 CIRBY HILLS DRIVE,ROSEVILLE,95678,Investor - Limited Liability Company,Teaching,1-49,District 6,District 5,Roseville,Urban,,,256,,,,149,107,,,,55,89,61,39,11,,,1,29,201,26,,,,17,181,35,23,,,,219,,15,,,,22,,,,,219,37,,5190,,256,,,,,179,6,7,3,39,19,,,,,,,3,,,,,,256,,,256,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,1,42,,2,211,,,
106320859,320859,PLUMAS,EASTERN PLUMAS HOSPITAL-PORTOLA CAMPUS,500 1ST AVE,PORTOLA,96122,District,Small/Rural,1-49,District 1,District 1,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,36,54,,,,,39,51,,,,,,,,11,30,42,7,,79,11,,,,,87,3,,,15,,29,,1,45,,,,,,,38,,52,,4316,39,,51,,,,48,13,,9,,,,17,1,,,,,,2,,,49,41,,,,,79,,,11,2,2,,3,,14,,,4,8,3,7,4,2,,,,27,13,1,,10,,,,,,,,,,,,,,,80,,,,,2,88,,,
106320986,320986,PLUMAS,PLUMAS DISTRICT HOSPITAL,1065 BUCKS LAKE ROAD,QUINCY,95971,District,Small/Rural,1-49,District 1,District 1,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,283,9,,,,,159,133,,,,,18,20,25,69,69,80,11,17,251,24,,,,,266,26,,,233,35,8,,1,9,,,3,3,,,248,,44,,1070,247,1,44,,,,208,36,2,18,,1,5,7,8,,,3,,,4,,,27,265,,,11,39,182,,56,4,8,6,3,20,13,8,,1,30,52,42,16,8,28,,,,46,8,2,1,8,,18,18,,,,1,,9,2,,,2,8,226,,,9,,6,277,,,
106321016,321016,PLUMAS,SENECA DISTRICT HOSPITAL,130 BRENTWOOD DRIVE,CHESTER,96020,District,Small/Rural,1-49,District 1,District 1,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,45,12,,,,,24,33,,,,,,,,,24,17,16,,55,2,,,,,55,2,,,53,,,1,,3,,,,,,,40,,17,,4497,,40,17,,,,32,9,,5,,,2,8,,,,,,,1,,,17,40,,,,,36,,16,5,5,2,,3,2,6,,,10,8,3,6,1,5,,,,3,2,1,,1,,,,,,,,,1,,,,,,55,,,2,,3,52,,,
106330120,330120,RIVERSIDE,THE BETTY FORD CENTER,39407 VISTA DEL SOL,RANCHO MIRAGE,92270,Non-profit Corporation (incl. Church-related),Small/Rural,100-149,District 19,District 47,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,,,,1497,,,916,581,,,,224,341,385,311,194,28,,14,223,1267,7,26,24,,50,1334,28,,35,1497,,,,,,,,,,,,,,1497,,27251,,,1497,,,,1329,,,,,,168,,,,,,,,,,,,1497,,145,,1314,,35,,3,,,,,1496,,,,,,,,,,,,,,,,1,1465,,,,,,,,,,,,,,,32,,,,10,521,966,,,
106330901,330901,RIVERSIDE,COACHELLA VALLEY BEHAVIORAL HEALTH,81555 JFK COURT,INDIO,92201,Investor - Limited Liability Company,Small/Rural,50-99,District 18,District 36,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,,,9,,,,7,2,,,,,,,,,,,9,,,9,,,,,,9,,,5,1,2,,,,,,1,,,,,2,7,,26,1,8,,,,,5,,2,,,,1,,,,,,,,1,,,,9,,,,,,,,9,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,2,,,7,,,
106331152,331152,RIVERSIDE,CORONA REGIONAL MEDICAL CENTER-MAIN,800 SOUTH MAIN STREET,CORONA,92882,Investor - Corporation,Small/Rural,150-199,District 31,District 58,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,Urban,10606,201,1362,,,,5295,6874,,1083,157,1376,1708,1266,1551,1909,1595,1524,,4802,6817,550,34,475,29,796,9419,567,813,36,9939,26,838,68,34,190,,1,19,1,1053,,7672,93,4404,,68664,4023,5151,1941,1053,1,,7242,388,66,1160,49,37,396,229,2306,,14,194,40,,48,,,232,11937,,256,194,2331,4219,46,5123,,1016,233,97,701,1519,368,14,29,1511,859,1468,182,419,650,1155,1083,1,207,630,27,,4141,1050,704,1483,1,1,,120,20,181,576,65,3,160,134,3436,94,24,604,2,95,11444,,,
106331164,331164,RIVERSIDE,DESERT REGIONAL MEDICAL CENTER,1150 NORTH INDIAN CANYON DRIVE,PALM SPRINGS,92262,Investor - Corporation,Small/Rural,300-499,District 19,District 47,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,Urban,19020,335,,,179,,9797,9720,17,2031,330,1843,2191,1579,2147,3379,3212,2822,,8289,10902,343,231,515,75,969,13877,363,3254,250,13002,477,2342,357,1037,551,3,4,38,9,1713,1,14579,80,4875,,106143,4970,9564,557,1713,2709,21,12694,351,262,2248,62,102,718,601,2141,,6,293,27,,29,,,1117,18417,,294,237,3537,7123,1002,7341,,1670,416,135,944,202,644,47,23,2725,879,2175,233,473,876,1910,1848,14,342,3919,58,1,3566,1722,2193,2210,13,2,17,100,45,559,1754,300,61,425,239,6161,167,8,646,77,604,18199,,,
106331168,331168,RIVERSIDE,EISENHOWER MEDICAL CENTER,39000 BOB HOPE DRIVE,RANCHO MIRAGE,92270,Non-profit Corporation (incl. Church-related),Small/Rural,300-499,District 19,District 47,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,21745,,,,,,11295,10449,1,1177,125,921,1500,1239,2082,3759,5184,5758,,6242,15195,308,109,334,32,647,16338,175,3830,280,20325,4,51,272,84,,,,,2,1007,,16295,,5450,,75666,8277,9184,3203,1007,74,,12794,262,546,2283,11,2,,412,4583,,2,821,20,,9,,,3129,18616,,107,107,5375,11950,259,3918,29,2965,1057,279,1312,241,455,27,14,4031,1122,2718,399,1202,1083,1116,1025,32,314,2109,232,12,1528,1001,2959,2735,7,8,2,254,123,584,2000,381,40,865,451,8580,227,,141,147,756,20701,,,
106331194,331194,RIVERSIDE,HEMET GLOBAL MEDICAL CENTER,1117 EAST DEVONSHIRE,HEMET,92543,Investor - Corporation,Small/Rural,300-499,District 19,District 60,East Hemet/Hemet/Valle Vista,Urban,6878,29,,652,,,3690,3869,,171,63,355,582,629,929,1853,1608,1369,,2204,5315,40,44,170,42,870,5670,31,732,,6844,309,54,35,108,29,2,3,1,11,163,,6279,9,1271,,40221,6308,,1088,163,,,2775,497,17,1562,31,,542,301,1526,,3,290,,,3,,12,493,7066,,119,,982,4234,,2224,,1658,145,95,477,772,202,2,6,849,601,841,113,107,606,213,171,,89,563,48,1,3013,172,504,662,,,,67,10,102,295,14,4,125,174,2359,58,13,190,,54,7302,,,
106331216,331216,RIVERSIDE,JOHN F. KENNEDY MEMORIAL HOSPITAL,47111 MONROE STREET,INDIO,92201,Investor - Corporation,Small/Rural,100-149,District 18,District 36,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,8298,,,,,,3376,4922,,1776,213,1247,1202,597,659,889,873,842,,6200,2078,20,58,98,19,249,7825,33,16,,6408,23,103,67,20,1,1,,23,,1652,,4937,1,3360,,19570,4080,2465,22,1652,79,,6589,265,13,533,3,28,169,165,449,,,76,6,,2,,,193,8100,5,189,17,1150,1743,243,4956,,693,49,72,389,103,116,5,11,870,491,805,93,67,379,1885,1670,2,72,523,3,,2319,1692,665,500,2,2,,119,2,68,192,34,28,106,43,2485,41,34,141,,143,7980,,,
106331226,331226,RIVERSIDE,PACIFIC GROVE HOSPITAL,5900 BROCKTON AVENUE,RIVERSIDE,92506,Investor - Limited Liability Company,Small/Rural,50-99,District 31,District 58,Casablanca/Riverside Central,Urban,,,2111,29,,,1759,381,,,75,527,658,416,280,157,26,,1,716,1215,209,,20,,296,1001,185,569,69,278,12,1713,,129,,,,4,4,,,,1713,427,,16123,503,1446,190,,1,,1985,26,4,,,,120,,,,,,,,5,,,,2140,,,102,181,390,,1463,4,,,,,2140,,,,,,,,,,,,,,,,,174,,,,,,,,,,170,,,,,1796,,,621,1,16,1502,,,
106331288,331288,RIVERSIDE,PALO VERDE HOSPITAL,250 NORTH FIRST STREET,BLYTHE,92225,District,Small/Rural,1-49,District 18,District 36,Blythe,Rural,349,,,,,,187,162,,,,21,29,37,59,83,62,49,9,129,219,1,,,,68,140,10,131,,306,4,,6,,,,,33,,,,343,,6,,1106,348,,1,,,,246,18,,28,,43,10,1,,,,2,1,,,,,16,333,,,,98,141,,103,7,30,4,10,25,7,7,,1,34,41,70,39,8,32,,,,25,13,2,1,8,,2,11,,,,,,5,3,,,2,1,317,,,10,2,34,303,,,
106331293,331293,RIVERSIDE,DOCTORS HOSPITAL OF RIVERSIDE,3865 JACKSON STREET,RIVERSIDE,92503,Investor - Limited Liability Company,Small/Rural,150-199,District 31,District 58,Casablanca/Riverside Central,Urban,6583,,,,,,2694,3889,,1110,73,642,956,530,670,979,866,757,,2891,3686,6,20,417,22,505,5106,24,489,,5352,73,,73,1,,,,,,1084,,4325,,2258,,26544,4214,471,814,1084,,,4062,183,22,1159,24,4,158,109,590,,5,226,7,13,19,2,,345,6238,,1008,18,837,1920,,2796,4,811,92,66,673,84,159,2,1,484,395,626,99,102,338,1123,1110,,96,319,3,,1712,1097,343,859,1,2,1,24,5,105,226,5,4,106,34,2013,46,4,109,,35,6435,,,
106331312,331312,RIVERSIDE,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,92501,Investor - Partnership,Teaching,500+,District 31,District 58,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,Urban,32742,,,,,1,14753,17969,21,3980,358,3310,3931,2751,3778,5576,4981,4078,,15102,16402,1239,47,863,52,2493,15328,722,9220,4018,24348,3142,1068,37,98,141,1,7,12,,3889,,24734,,8009,,156232,23277,436,3095,3889,2046,,19776,655,272,3927,360,75,1038,958,4751,,1,869,45,2,13,,1,63,32679,1,808,367,5246,11274,2027,13021,,4029,1000,317,1188,462,1228,47,98,5474,939,2442,301,1011,1329,4264,3971,27,497,3464,654,1,1940,2974,4424,2215,8,32,11,504,131,952,2117,417,104,717,278,15792,127,37,953,5,300,31448,,,
106331326,331326,RIVERSIDE,SAN GORGONIO MEMORIAL HOSPITAL,600 N. HIGHLAND SPRINGS AVENUE,BANNING,92220,District,Small/Rural,50-99,District 19,District 47,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,2196,,,,,,1036,1160,,107,19,130,161,173,233,448,460,465,,682,1514,,50,72,,203,1790,10,41,30,1928,40,11,105,1,,,1,3,,107,,2087,,109,,9298,2042,37,10,107,,,782,189,14,438,2,1,95,82,498,,,90,4,1,,,,368,1828,,19,184,247,1048,,697,1,384,22,11,174,30,43,2,,302,241,329,37,36,139,129,107,,27,179,4,,162,107,228,218,,,,8,,35,118,17,,37,31,1224,11,,66,,12,2118,,,
106332172,332172,RIVERSIDE,KINDRED HOSPITAL - RIVERSIDE,2224 MEDICAL CENTER DRIVE,PERRIS,92571,Investor - Corporation,Small/Rural,1-49,District 31,District 60,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,Urban,351,,,,,,202,149,,,,,29,43,50,98,75,47,9,89,258,4,,,,65,177,15,94,,1,,350,,,,,,,,,,,,351,,14860,,,351,,,,5,87,16,125,1,,14,59,37,,,7,,,,,,61,290,,,,120,77,,143,11,10,1,,6,,4,,,12,235,10,13,8,16,,,,4,26,6,,196,,33,11,,,,,,6,2,,,2,,82,19,,12,,,339,,,
106334018,334018,RIVERSIDE,MENIFEE GLOBAL MEDICAL CENTER,28400 MCCALL BOULEVARD,SUN CITY,92585,Investor - Corporation,Small/Rural,50-99,District 32,District 63,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,Urban,3330,,,,,,1832,1498,,,24,317,728,495,407,493,429,437,,1150,2134,46,22,47,13,291,2351,49,557,,3128,149,8,,24,2,1,,,18,,,2019,3,1308,,14720,2018,,1307,,,5,2095,157,7,339,4,,320,56,287,,,65,,,,,,100,3230,,29,,225,1148,,1928,,409,36,26,186,1473,46,1,,220,186,265,40,70,134,,,,42,188,7,1,1942,,115,127,,2,,24,,27,127,26,,21,,905,14,7,117,,32,3174,,,
106334025,334025,RIVERSIDE,KAISER FOUNDATION HOSPITAL - RIVERSIDE,10800 MAGNOLIA AVENUE,RIVERSIDE,92505,Non-profit Corporation (incl. Church-related),Small/Rural,200-299,District 31,District 58,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,Urban,12953,,,,,,5000,7953,,2925,97,1422,2063,667,950,1534,1788,1504,3,5693,7104,156,62,780,78,1291,4859,323,5478,82,8414,511,979,89,49,3,44,,,20,2842,2,4935,449,7553,16,49407,4500,4636,973,2842,1,1,9138,257,19,717,,,99,302,2188,,1,203,11,1,7,10,,977,11976,,126,16,6780,4234,,1791,6,1428,527,135,486,103,196,9,9,1080,536,1028,136,162,389,3000,2924,9,166,556,74,,1372,2805,893,1166,4,11,4,823,44,157,539,64,125,267,285,4241,153,,77,,18,12858,,,
106334048,334048,RIVERSIDE,KAISER FOUNDATION HOSPITAL - MORENO VALLEY,27300 IRIS AVENUE,MORENO VALLEY,92555,Non-profit Corporation (incl. Church-related),Small/Rural,100-149,District 31,District 60,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,6528,,,,,,2481,4047,,1571,59,819,1049,387,448,747,829,619,,3233,3252,43,32,289,30,974,1867,103,3190,43,4338,263,315,40,24,,20,,,14,1514,,2904,155,3469,,20237,2675,1739,599,1514,,1,4715,233,12,259,,2,49,120,1026,,,98,3,1,3,7,,502,6026,,70,,3482,1935,,1031,10,771,96,75,195,51,98,4,2,558,265,575,62,99,224,1614,1567,4,84,175,9,,662,1497,401,547,,,,381,14,70,194,18,19,81,149,2418,77,,25,,10,6493,,,
106334068,334068,RIVERSIDE,SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL,25500 MEDICAL CENTER DRIVE,MURRIETA,92562,Investor - Corporation,Small/Rural,100-149,District 32,District 71,Lake Elsinore/Murrieta West/Sedco Hills/Wildomar,Urban,21489,,,,,,8734,12755,,3504,316,2270,2977,1682,1880,2892,2869,3099,,6850,13967,672,433,916,134,1432,11796,490,5892,396,17707,39,127,134,22,4,2,4,18,,3432,,15599,50,5840,,76625,8742,6791,1421,3432,999,104,14021,655,309,1902,45,26,475,394,2951,,158,520,24,,9,,,582,20907,,418,925,6168,7725,66,6187,,1149,417,168,1389,292,584,5,18,2059,1023,2168,253,630,1033,3698,3491,10,482,2577,41,2,5075,3393,929,2167,3,13,4,303,23,440,1266,204,25,347,231,6973,93,2,363,26,202,20896,,,
106334457,334457,RIVERSIDE,TELECARE RIVERSIDE COUNTY PSYCHIATRIC HEALTH FACILITY,47-915 OASIS STREET,INDIO,92201,Investor - Corporation,Small/Rural,1-49,District 18,District 36,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,,,474,,,,285,189,,,16,114,156,98,63,24,,,3,214,255,5,,,,39,192,3,240,,434,,36,3,1,,,,,,,,,1,473,,5554,,474,,,,,344,6,,1,117,,,,,,,,4,,2,,,,474,,,12,26,32,,395,9,1,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,178,,,296,,,
106334487,334487,RIVERSIDE,RIVERSIDE UNIVERSITY HEALTH SYSTEM - MEDICAL CENTER,26520 CACTUS AVENUE,MORENO VALLEY,92555,City or County,Teaching,300-499,District 31,District 60,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,22265,,3123,,,,12614,12769,5,3058,1423,3058,3758,2901,3094,3669,2478,1949,,13939,11315,134,100,769,114,3605,17090,1057,2140,513,21083,187,514,81,15,4,,,1487,8,2009,,19415,212,5761,,136382,6919,10902,3251,2009,2302,5,17128,664,458,1975,116,1347,578,420,2085,,45,342,152,,5,73,,1458,23930,,372,1153,1426,6997,67,15373,,1940,663,187,1136,3868,1014,84,51,2091,1339,2762,395,821,1165,2436,2118,18,198,2988,100,14,5022,2225,1240,2584,27,10,66,317,62,640,2454,348,87,381,329,9262,334,12,1951,3,78,23344,,,
106334533,334533,RIVERSIDE,REHABILITATION HOSPITAL OF SOUTHERN CALIFORNIA,70077 RAMON RD,RANCHO MIRAGE,92270,Investor - Limited Liability Company,Teaching,50-99,District 19,District 47,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,Urban,742,,,,,,357,385,,,,,15,15,41,116,214,338,3,63,679,,,,,,732,10,,,1,1,731,3,6,,,,,,,,,,742,,10639,,,742,,,,126,68,,80,,1,12,,451,,,1,,,3,,,96,646,,,,42,633,,57,10,,2,,,,45,,,110,,,,39,,,,,86,260,200,,223,,3,,,,,,,34,4,,,26,1,451,,,,,23,719,,,
106334564,334564,RIVERSIDE,TEMECULA VALLEY HOSPITAL,31700 TEMECULA PKWY,TEMECULA,92592,Investor - Corporation,Teaching,100-149,District 32,District 71,Temecula South,Urban,9252,,,,,,4761,4491,,,46,271,495,673,1134,2092,2314,2227,,1776,7164,312,80,479,66,459,6748,86,1284,50,8717,17,383,117,14,2,,2,,,,,7709,112,1431,,45255,4087,4042,1097,,1,25,5137,164,220,1066,29,,285,333,1728,,,266,23,,1,,,762,8490,,103,248,1452,5733,22,1694,,768,295,115,391,200,383,4,18,3271,671,1338,140,214,415,,,9,300,699,13,8,2031,,2203,1054,1,4,,8,20,120,344,112,1,292,124,2802,136,,160,5,168,8919,,,
106334589,334589,RIVERSIDE,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,28062 BAXTER ROAD,MURRIETA,92563,Non-profit Corporation (incl. Church-related),Teaching,100-149,District 32,District 71,French Valley/Murrieta East/Temecula/Winchester,Urban,11604,,,,,,5130,6474,,1290,100,916,1202,839,1215,2027,2122,1893,,3894,7596,114,63,597,52,905,8162,195,1437,193,9367,377,241,329,50,4,8,1,5,,1222,,8907,9,2688,,47228,5826,3465,1089,1222,2,,7084,244,177,972,33,2,410,305,2139,,9,218,7,2,,2,,408,11196,,94,483,2403,5304,28,3290,2,920,295,62,518,81,269,4,7,2697,686,1336,268,234,596,1347,1279,16,311,665,13,,780,1211,2174,1040,1,3,1,39,33,194,423,80,45,266,90,5061,163,1,102,2,70,11429,,,
106334678,334678,RIVERSIDE,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MURRIETA,35470 WHITEWOOD ROAD,MURRIETA,92563,Investor - Limited Liability Company,Teaching,50-99,District 32,District 71,French Valley/Murrieta East/Temecula/Winchester,Urban,,,,,1229,,635,594,,,14,46,69,111,167,270,300,252,,274,938,17,,24,,102,985,43,62,13,19,40,1147,15,,,,,,8,,,,,1229,,15413,,,1229,,,,211,119,,90,,,6,1,792,,,10,,,,,,,1229,,,,178,671,64,313,3,,1,,,1,192,,,323,4,,,13,1,,,,94,333,267,,1,,23,1,,,,,,,,,,,,1204,,3,4,,10,1212,,,
106340025,340025,SACRAMENTO,UC DAVIS REHABILITATION HOSPITAL,4875 BROADWAY,SACRAMENTO,95820,Investor - Limited Liability Company,Teaching,50-99,District 8,District 6,Florin/Fruitridge/Oak Park/Parkway/South Sacramento,Urban,,,,,771,,411,360,,,,31,48,48,93,157,231,157,6,,661,110,,56,,42,477,86,110,,2,,762,,2,,,,,5,,,,,771,,9883,,,769,,,2,278,101,1,58,,,4,,325,,,2,,,2,,,,771,,,59,105,447,12,148,,,4,,2,,90,,,179,1,2,3,62,2,,,1,52,210,163,,1,,,,,,,,,,,,,,,770,,,,,19,752,,,
106340041,340041,SACRAMENTO,HERITAGE OAKS ENRICHMENT CENTER,4378 AUBURN BOULEVARD,SACRAMENTO,95841,Investor - Corporation,Teaching,1-49,District 8,District 7,Carmichael/Fair Oaks/Gold River,Urban,,,277,,,,160,117,,,,72,92,65,33,11,,,4,48,217,12,,33,,73,108,6,57,,,,231,,46,,,,,,,,,230,47,,4416,,277,,,,,232,3,,,28,1,13,,,,,,,,,,,,277,,,,,,,277,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,95,,1,181,,,
106340913,340913,SACRAMENTO,KAISER FOUNDATION HOSPITAL - SACRAMENTO,2025 MORSE AVENUE,SACRAMENTO,95825,Non-profit Corporation (incl. Church-related),Teaching,200-299,District 6,District 6,Arcade/Arden/Town and Country Village,Urban,14376,,,,,,6967,7403,6,,66,444,842,1295,2009,3267,3506,2943,4,1957,12266,153,75,1296,128,2002,8715,155,1831,174,12297,140,1356,307,146,1,1,,6,119,,3,10908,856,2612,,63446,1747,10334,2289,,,6,7381,358,90,2446,1,2,349,446,2838,,1,399,43,,19,3,,1843,12533,,266,18,3382,8685,17,2008,,2868,932,129,602,297,700,16,10,2766,904,1415,204,1296,597,23,,29,303,1193,92,,2049,1,1169,1448,23,72,3,142,45,427,1448,911,21,198,458,5645,316,4,533,,44,13795,,,
106340947,340947,SACRAMENTO,MERCY GENERAL HOSPITAL,4001 J STREET,SACRAMENTO,95819,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 8,District 6,Greenhaven/Land Park/Midtown/Pocket/Riverside/Sutterville,Urban,13976,,,,461,,7208,7228,1,556,68,636,983,1123,1957,3248,3358,2508,,2234,12134,69,70,1640,109,1900,7760,422,2468,68,10492,63,3255,51,12,,6,,3,,555,,8135,1453,4830,19,70023,5464,4768,3638,555,12,,8563,316,106,1482,35,25,347,405,2948,,2,172,15,8,13,,,1048,13370,19,92,240,2397,7826,75,3804,3,1271,566,103,448,188,412,8,15,5336,626,1312,172,716,585,647,556,86,279,1060,51,,1888,546,3844,1264,5,27,1,178,36,189,883,184,6,232,138,4775,241,53,493,3,98,13790,,,
106340950,340950,SACRAMENTO,MERCY SAN JUAN MEDICAL CENTER,6501 COYLE AVENUE,CARMICHAEL,95608,Non-profit Corporation (incl. Church-related),Teaching,300-499,District 6,District 7,Carmichael/Fair Oaks/Gold River,Urban,21990,,,,,,10528,11460,2,2005,259,1353,2034,1762,2649,4251,3910,3766,1,2837,18951,202,53,2063,158,1934,13942,482,3293,65,16749,99,3401,155,71,,11,,5,2,1497,,14953,2756,4273,8,105565,10520,6861,2141,1497,971,,13394,487,274,3123,101,32,677,780,2625,1,1,363,92,,40,,,1999,19983,8,272,582,3442,10164,59,7468,3,2385,754,173,1141,514,627,22,19,3871,1711,1962,463,642,1269,1648,1684,13,392,2610,90,,2991,1416,1953,1528,11,2,12,191,78,653,1656,292,65,475,426,9975,266,133,866,7,100,20884,,,
106340951,340951,SACRAMENTO,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,95823,Non-profit Corporation (incl. Church-related),Teaching,150-199,District 8,District 10,Elk Grove/Laguna/Laguna West/Lakeside,Urban,10456,741,,,,,4516,6681,,1688,83,1040,1569,906,1107,1784,1527,1493,,2539,8639,19,17,2104,90,1889,3758,135,3111,93,8015,21,1442,33,7,,2,,7,2,1668,,6851,449,3897,,79363,384,6759,2375,1668,11,,7689,421,25,980,24,17,217,267,1392,,,109,24,1,11,20,,749,10448,,93,168,2301,4063,50,4493,29,1377,148,45,723,200,275,4,10,1290,820,824,176,213,666,1816,1687,3,156,693,70,1,1164,1615,392,743,1,,1,98,11,109,405,41,15,167,107,6209,119,11,299,1,46,10840,,,
